,id,duration,index,match_id,timestamp,start_x,start_y,end_x,end_y
37,25cde4d6-7234-4ed8-b0b7-302cca05b9ea,4.382928,104,3942228,00:01:58.400,14.7,80.0,68.5,75.1
77,1c74e27a-e8cb-4e39-872a-a9c14ec4c8fe,2.553019,235,3942228,00:04:44.519,57.9,80.0,87.3,74.4
78,1c7a5300-8591-4d6e-95f9-c0aeddac8afd,1.10008,237,3942228,00:05:07.746,92.0,80.0,104.7,61.8
79,16cd3648-c3b1-43b2-8041-5feb2a40e887,1.32603,241,3942228,00:05:09.934,25.5,16.2,36.7,28.2
80,a9fd11e0-e9a5-47fb-8df9-619db06c4af3,2.519564,243,3942228,00:05:11.260,83.4,51.9,110.8,33.7
81,cdf728b8-0c28-4f54-ab45-c912212b405c,3.093865,246,3942228,00:05:21.739,17.3,45.3,86.9,49.9
82,5a2564b4-ad27-48db-9a90-b18c8336b20a,1.764406,247,3942228,00:05:24.833,33.2,30.2,39.2,48.6
83,0a9d0bcf-8cb8-442c-a628-600f5eba6d97,0.813987,248,3942228,00:05:26.597,80.9,31.5,82.7,50.1
84,756d7297-f924-481e-949b-00f2994b474d,0.889735,250,3942228,00:05:27.411,37.4,30.0,29.6,25.2
85,ada08176-61e7-45c7-87bd-406218220cb1,0.813281,253,3942228,00:05:29.343,30.5,18.4,48.8,15.3
86,05e1526d-6df7-40f8-9e98-42bc0eff3e93,0.141955,258,3942228,00:05:32.504,44.4,2.8,44.8,3.9
87,83c17e0f-d760-40bb-af68-7629a9d7e23e,1.32151,260,3942228,00:05:45.743,48.5,0.1,76.5,4.3
88,52105bca-aa3e-4202-82cb-7a06b0579c90,1.653661,262,3942228,00:05:47.065,76.5,4.3,66.6,4.9
89,d4debe42-dbf0-4034-92d2-080a7d835634,0.19282,264,3942228,00:05:48.719,66.6,5.1,73.6,10.8
90,e7abd21f-1bc4-4a36-9dcb-ed2ccecedad2,0.820752,266,3942228,00:05:48.951,73.6,10.8,80.4,7.1
98,ccbad1da-ffcd-48e6-a886-d13412e07f2a,2.118611,296,3942228,00:06:52.111,44.0,80.0,48.1,32.9
99,5e235daf-a20c-4aa7-a2e1-01d4faca74d5,0.04442,299,3942228,00:06:55.367,49.5,19.0,48.8,21.8
104,2c42ffdf-1cef-4c99-be1a-05955cde0847,1.065281,319,3942228,00:07:06.163,11.5,57.0,15.3,62.1
105,74b64c49-9609-4dac-8c4d-cc1a431ab179,0.995988,323,3942228,00:07:07.304,15.8,63.6,9.6,63.2
106,41a39405-c42b-4e62-b567-6ac01d0abf92,1.725469,330,3942228,00:07:10.770,8.5,78.3,40.1,60.9
113,00ddfdf3-eac6-4aab-989d-7f228ff1a4a4,0.269786,355,3942228,00:07:33.306,1.6,67.8,4.1,67.8
114,495bb5cc-c3a9-4786-971e-b23d12727635,4.835547,357,3942228,00:07:35.145,5.5,57.2,63.0,73.2
115,93953b31-98c0-43e7-b59b-77de59c19c12,4.658096,361,3942228,00:07:39.980,57.1,6.9,88.2,20.6
116,e1d88683-da8e-4cc4-909a-31254ac73920,1.710583,363,3942228,00:07:58.016,22.0,57.0,21.3,28.0
117,373d9b84-675d-4b6c-82a1-4e0fdefc227a,1.602059,366,3942228,00:08:01.075,22.9,26.8,41.5,2.3
118,06e4e348-49d7-4f6e-9c09-8132446dcf64,1.134997,369,3942228,00:08:04.765,44.9,2.3,34.8,6.2
119,0b5b41fc-3394-4cfb-9c22-ebe2f833bf46,1.374232,372,3942228,00:08:07.247,30.9,7.3,11.2,26.8
120,2a769082-1c13-49ee-9a65-8c8e0668d766,1.599338,376,3942228,00:08:10.008,11.2,27.0,52.7,2.7
121,2c479de4-e311-4c45-8bda-cbd9840f212a,1.455366,379,3942228,00:08:13.138,46.2,5.3,62.0,28.6
122,bdac8f21-7bd8-4a84-bc68-b8da39d95962,0.66198,383,3942228,00:08:20.218,51.1,8.0,62.8,22.0
133,bc8fbfca-801b-417a-a8eb-ed36c6a567ae,1.026653,424,3942228,00:10:09.655,39.9,32.7,46.0,45.1
134,0c7dd6ad-506a-4caf-be35-18b89d5e2652,0.446885,427,3942228,00:10:10.722,46.0,45.1,44.9,34.1
135,e94ea5cd-f2df-40b2-bd7b-b33cb64a7278,1.135305,429,3942228,00:10:14.164,56.5,76.0,48.2,65.8
136,b5db05f9-b169-49a0-8355-5b20768fb57e,2.934629,437,3942228,00:10:18.777,74.4,5.9,112.4,3.9
137,1ab7d6ba-0668-4f59-95ad-6f5d64e69eab,0.11503,440,3942228,00:10:22.281,115.7,3.5,115.7,7.6
138,cb20c09a-75ef-4acd-ad53-b2156dc39fe3,0.818459,445,3942228,00:10:47.048,120.0,0.1,116.5,4.3
139,03505e9b-ae2c-41a2-8588-7a7e13fabce9,1.167537,448,3942228,00:10:49.480,115.1,7.3,112.0,44.6
140,80617417-ee4c-4b2c-898c-fe66479bd597,1.358698,454,3942228,00:10:54.241,93.0,34.3,90.2,24.7
141,c1675a0e-c2d0-45bf-bb65-5d2946d459e5,2.077088,457,3942228,00:10:56.441,91.6,23.5,112.0,20.0
147,87f0969d-69c2-427c-a6ce-a01196948d19,0.708976,484,3942228,00:11:48.231,57.2,19.4,49.3,12.6
148,df942413-4664-430c-8922-77af72c5f460,0.830216,487,3942228,00:11:49.393,48.1,14.1,46.8,26.8
149,82a4ee6c-7f9b-42d8-8714-5288e0aa1dfc,2.420869,490,3942228,00:11:51.217,44.4,26.3,9.8,40.5
150,587d5d72-2a48-4dba-8322-bf3b323816bb,2.035607,493,3942228,00:11:55.196,10.8,44.2,13.7,56.0
151,0788c511-18c3-4aeb-8ee7-2efaca0a46e6,1.233351,496,3942228,00:11:57.776,14.5,56.8,27.2,59.3
152,1010c679-5e28-4e2b-b2cc-8d81de7a8d71,3.543503,499,3942228,00:12:00.809,33.4,63.2,73.0,1.8
153,6394e34f-2fc7-40b9-a0f0-535fbc6941dc,0.994815,503,3942228,00:12:05.697,70.7,3.0,63.2,1.6
154,2af99df8-6ebe-4d65-9ee0-5e9bc0c0ca5e,0.780309,506,3942228,00:12:07.352,62.5,2.5,63.8,20.8
155,65c697e4-3b87-41be-b1a3-ac6a12a45818,4.502266,510,3942228,00:12:09.733,67.8,26.3,120.0,4.6
160,125011eb-2144-44a2-aa1f-96f578f08196,1.24484,523,3942228,00:12:48.809,52.7,22.0,63.6,3.0
161,361fddfe-cc9d-4010-88de-00616079495a,1.168493,526,3942228,00:12:50.094,63.6,3.5,74.6,19.0
162,2d2d5fcb-3f91-4393-ae26-6f3613d52edc,0.708313,531,3942228,00:12:52.305,78.1,9.0,78.5,1.8
163,e70187fc-afad-4490-89e0-6c841b203ea3,1.18708,534,3942228,00:12:53.938,76.7,1.6,87.1,21.3
167,cf410e1b-1e32-48c6-a8af-6668546ce023,1.005111,556,3942228,00:13:08.768,38.9,61.1,34.6,72.6
168,a40f6e52-da0b-4726-8613-4181fe1b492b,0.25489,559,3942228,00:13:10.603,38.2,75.4,40.1,74.2
